AAAA 02 14 00 36FFEE07E9FFFE0001FFFF000000000000000079
AAAA F1 12 00 000000000000000000001200000000FFE951
AAAA F2 12 00 0000000000000000000009000000000D48B6
AAAA 01 0C FF EEFF6E002500002BA90000B4
AAAA 02 14 00 2FFFEE07E3000000000000000000000000000070
AAAA 02 14 00 2FFFEC07E4000000020000000000000000000071
AAAA F1 12 00 000000000000000000001200000000FFEA52
AAAA F2 12 00 0000000000000000000009000000000D48B6
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110E260000A6
AAAA 02 14 00 35FFF207F600000001FFFE00000000000000008B
AAAA 01 0C FF EEFF6E002500002BA90000B4
AAAA 02 14 00 33FFF607E8FFFF0001FFFF00000000000000007E
AAAA F1 12 00 000000000000000000001200000000FFEA52
AAAA F2 12 00 0000000000000000000009000000000D48B6
AAAA 05 04 01 8A01F4DD
AAAA 02 14 00 2DFFF807DE0000FFFF0000000000000000000071
AAAA 02 14 00 35FFF807E7000000000000000000000000000084
AAAA F1 12 00 000000000000000000001200000000FFEB53
AAAA F2 12 00 0000000000000000000009000000000D48B6
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110E260000A6
AAAA 01 0C FF EEFF6E002500002BA90000B4
AAAA 02 14 00 2BFFEE07FBFFFF0000FFFF000000000000000080
AAAA 02 14 00 3AFFF707F0000100000001000000000000000093
AAAA F1 12 00 000000000000000000001200000000FFEC54
AAAA F2 12 00 000000000000000000000A000000000D48B7
AAAA 02 14 00 3AFFF007EA000000010000000000000000000085
AAAA 01 0C FF EDFF6D002600002BAF0000B9
AAAA 02 14 00 2DFFF007EBFFFF00000000000000000000000076
AAAA F1 12 00 000000000000000000001200000000FFEC54
AAAA F2 12 00 000000000000000000000C000000000D48B9
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 011106C0000EE
AAAA 02 14 00 30FFED07EC0000FFFF0001000000000000000078
AAAA 02 14 00 33FFFB07ED00000000000000000000000000008B
AAAA F1 12 00 000000000000000000001200000000FFED55
AAAA F2 12 00 000000000000000000000D000000000D48B
AAAA A0 10 CF FEDFF6D002600002BAF0000B9
AAAA 02 14 00 3BFFF107ECFFFF00000002000000000000000088
AAAA 02 14 00 37FFF407EE000000000000000000000000000089
AAAA F1 12 00 000000000000000000001200000000FFED55
AAAA F2 12 00 000000000000000000000D000000000D48B
AAAA A0 31 40 0000000000000000000000000000000000000006B
